pid,block,technique,time,distance_num,distance,overshoot_number,overshoot_distance,longest_overshoot,number_technique_used,number_normal_used,total_interaction
P1,1,ForcePress,4362,10055.5,medium,1,409.5,409.5,4,1,5
P1,1,ForcePress,2168,9944.5,medium,0,0,0,2,0,2
P1,1,ForcePress,2533,3944.5,short,0,0,0,2,0,2
P1,1,ForcePress,4641,15055.5,long,1,917.5,917.5,2,2,4
P1,1,ForcePress,2637,4055.5,short,0,0,0,2,1,3
P1,2,ForcePress,4087,14944.5,long,1,607.5,607.5,3,2,5
P1,2,ForcePress,3805,4055.5,short,1,1527.5,1527.5,3,3,6
P1,2,ForcePress,3425,15055.5,long,0,0,0,2,0,2
P1,2,ForcePress,1958,3944.5,short,0,0,0,2,0,2
P1,2,ForcePress,3197,9944.5,medium,0,0,0,2,0,2
P1,3,ForcePress,7706,4055.5,short,0,0,0,6,0,6
P1,3,ForcePress,2890,3944.5,short,0,0,0,3,0,3
P1,3,ForcePress,3092,14944.5,long,0,0,0,2,0,2
P1,3,ForcePress,2114,10055.5,medium,0,0,0,2,0,2
P1,3,ForcePress,2306,15055.5,long,0,0,0,2,0,2
P1,1,ForceScroll,11010,4055.5,short,1,3359.5,3359.5,3,6,9
P1,1,ForceScroll,4346,3944.5,short,1,1394.5,1394.5,1,12,13
P1,1,ForceScroll,7744,14944.5,long,0,0,0,2,2,4
P1,1,ForceScroll,8153,10055.5,medium,2,1076,1073.5,2,7,9
P1,1,ForceScroll,7537,15055.5,long,0,0,0,3,3,6
P1,2,ForceScroll,6140,10055.5,medium,1,989.5,989.5,3,2,5
P1,2,ForceScroll,3502,9944.5,medium,0,0,0,2,0,2
P1,2,ForceScroll,6008,3944.5,short,1,1148.5,1148.5,1,6,7
P1,2,ForceScroll,7168,15055.5,long,1,716.5,716.5,3,2,5
P1,2,ForceScroll,3742,4055.5,short,1,1594.5,1594.5,1,2,3
P1,3,ForceScroll,6721,14944.5,long,1,595.5,595.5,2,3,5
P1,3,ForceScroll,4723,4055.5,short,1,2209.5,2209.5,1,9,10
P1,3,ForceScroll,6669,15055.5,long,1,722.5,722.5,3,7,10
P1,3,ForceScroll,5733,3944.5,short,1,3637.5,3637.5,1,9,10
P1,3,ForceScroll,8180,9944.5,medium,1,4680.5,4680.5,3,4,7
P1,1,Traditional,4241,4055.5,short,1,277.5,277.5,0,6,6
P1,1,Traditional,3971,3944.5,short,0,0,0,0,5,5
P1,1,Traditional,4996,14944.5,long,0,0,0,0,7,7
P1,1,Traditional,4795,10055.5,medium,1,147.5,147.5,0,7,7
P1,1,Traditional,3894,15055.5,long,0,0,0,0,6,6
P1,2,Traditional,2929,10055.5,medium,0,0,0,0,13,13
P1,2,Traditional,3549,9944.5,medium,0,0,0,0,4,4
P1,2,Traditional,3568,3944.5,short,0,0,0,0,4,4
P1,2,Traditional,3330,15055.5,long,0,0,0,0,9,9
